run_date,code,name,rank,score,entry_price,basis_conditions,basis_count,basis_total,ref_upper,ref_lower,ref_hold,status,close_date,close_reason
2026-07-17,4477,ＢＡＳＥ,5,,321.00,,,,,,5,closed,2026-07-24,expired
2026-07-21,2153,Ｅ・Ｊホールディングス,1,,1779.00,,,,,,5,closed,2026-07-27,expired
2026-07-21,2471,エスプール,2,,275.00,,,,,,5,closed,2026-07-27,expired
2026-07-21,3946,トーモク,3,,4440.00,,,,,,5,closed,2026-07-27,expired
2026-07-21,7610,テイツー,4,,149.00,,,,,,5,closed,2026-07-27,expired
2026-07-21,3994,マネーフォワード,5,,5436.00,,,,,,5,closed,2026-07-27,expired
2026-07-22,3946,トーモク,1,,4495.00,,,,,,5,closed,2026-07-28,expired
2026-07-22,4432,ウイングアーク１ｓｔ,2,,2860.00,,,,,,5,closed,2026-07-28,expired
2026-07-22,2153,Ｅ・Ｊホールディングス,3,,1749.00,,,,,,5,closed,2026-07-28,expired
2026-07-22,4722,フューチャー,4,,2248.00,,,,,,5,closed,2026-07-28,expired
2026-07-22,4174,アピリッツ,5,,770.00,,,,,,5,closed,2026-07-28,expired
2026-07-23,3946,トーモク,1,,4475.00,,,,,,5,closed,2026-07-29,expired
2026-07-23,4722,フューチャー,2,,2233.00,,,,,,5,closed,2026-07-29,expired
2026-07-23,4432,ウイングアーク１ｓｔ,3,,2850.00,,,,,,5,closed,2026-07-29,expired
2026-07-23,3697,ＳＨＩＦＴ,4,,750.80,,,,,,5,closed,2026-07-29,expired
2026-07-23,2326,デジタルアーツ,5,,4015.00,,,,,,5,closed,2026-07-29,expired
2026-07-24,2326,デジタルアーツ,1,,3990.00,,,,,,5,closed,2026-07-30,expired
2026-07-24,3946,トーモク,2,,4470.00,,,,,,5,closed,2026-07-30,expired
2026-07-24,4733,オービックビジネスコンサルタント,3,,7366.00,,,,,,5,closed,2026-07-30,expired
2026-07-24,4722,フューチャー,4,,2150.00,,,,,,5,closed,2026-07-30,expired
2026-07-24,8541,愛媛銀行,5,,2576.00,,,,,,5,closed,2026-07-30,expired
2026-07-27,7752,リコー,1,,1587.00,,,,,,5,closed,2026-07-31,expired
2026-07-27,3946,トーモク,2,,4500.00,,,,,,5,closed,2026-07-31,expired
2026-07-27,4722,フューチャー,3,,2269.00,,,,,,5,closed,2026-07-31,expired
2026-07-27,3159,丸善ＣＨＩホールディングス,4,,367.00,,,,,,5,closed,2026-07-31,expired
2026-07-27,4432,ウイングアーク１ｓｔ,5,,2902.00,,,,,,5,closed,2026-07-31,expired
2026-07-28,3946,トーモク,1,,4505.00,,,,,,5,closed,2026-08-03,expired
2026-07-28,4432,ウイングアーク１ｓｔ,2,,3040.00,,,,,,5,closed,2026-08-03,expired
2026-07-28,5253,カバー,3,,1606.00,,,,,,5,closed,2026-08-03,expired
2026-07-28,3159,丸善ＣＨＩホールディングス,4,,366.00,,,,,,5,closed,2026-08-03,expired
2026-07-28,4722,フューチャー,5,,2375.00,,,,,,5,closed,2026-08-03,expired
2026-07-29,3159,丸善ＣＨＩホールディングス,1,,367.00,,,,,,5,closed,2026-08-04,expired
2026-07-29,3946,トーモク,2,,4535.00,,,,,,5,closed,2026-08-04,expired
2026-07-29,4373,シンプレクス・ホールディングス,3,,1117.00,,,,,,5,closed,2026-08-04,expired
2026-07-29,5911,横河ブリッジホールディングス,4,,2978.00,,,,,,5,closed,2026-08-04,expired
2026-07-29,4733,オービックビジネスコンサルタント,5,,7959.00,,,,,,5,closed,2026-08-04,expired
2026-07-30,9605,東映,1,,6300.00,,,,,,5,closed,2026-08-05,expired
2026-07-30,3635,コーエーテクモホールディングス,2,,1655.00,,,,,,5,closed,2026-08-05,expired
2026-07-30,2354,ＹＥ　ＤＩＧＩＴＡＬ,3,,1272.00,,,,,,5,closed,2026-08-05,expired
2026-07-30,3539,ＪＭホールディングス,4,,1422.00,,,,,,5,closed,2026-08-05,expired
2026-07-30,5253,カバー,5,,1558.00,,,,,,5,closed,2026-08-05,expired
2026-07-31,9605,東映,1,,6210.00,,,,,,5,closed,2026-08-06,expired
2026-07-31,3635,コーエーテクモホールディングス,2,,1637.50,,,,,,5,closed,2026-08-06,expired
2026-07-31,3636,三菱総合研究所,3,,4740.00,,,,,,5,closed,2026-08-06,expired
2026-07-31,3539,ＪＭホールディングス,4,,1425.00,,,,,,5,closed,2026-08-06,expired
2026-07-31,2354,ＹＥ　ＤＩＧＩＴＡＬ,5,,1280.00,,,,,,5,closed,2026-08-06,expired
2026-08-03,9605,東映,1,8.8,6000.00,出来高が5日平均で25日平均比 +91%|25日線を上回って推移（+2.7%）|5日線>25日線で短期上向き（乖離+5.1%）|25日線>75日線で中期も上向き（乖離+1.0%）|市場平均(TOPIX)を20日で +5.2pt上回る相対的な強さ|テーマ該当：DX・AI・サイバーセキュリティ|PER16.0倍 ≤ 業種中央値20.2倍（当社集計）|ニュース環境と接点：DX・AI・サイバーセキュリティタグが、AI・米国株関連のニュースと関連|直近5日 +0.0%で過熱圏未満（急騰しすぎていない）,9,9,6400.00,5642.86,5,closed,2026-08-07,expired
